fund_symbol,fund_short_name,fund_long_name,fund_category,fund_family,exchange_code,exchange_name,avg_vol_3month,avg_vol_10day,total_net_assets,day50_moving_average,day200_moving_average,week52_high_low_change,week52_high_low_change_perc,week52_high,week52_high_change,week52_high_change_perc,week52_low,week52_low_change,week52_low_change_perc,investment_strategy,fund_yield,inception_date,annual_holdings_turnover,investment_type,size_type,fund_annual_report_net_expense_ratio,category_annual_report_net_expense_ratio,asset_stocks,asset_bonds,fund_sector_basic_materials,fund_sector_communication_services,fund_sector_consumer_cyclical,fund_sector_consumer_defensive,fund_sector_energy,fund_sector_financial_services,fund_sector_healthcare,fund_sector_industrials,fund_sector_real_estate,fund_sector_technology,fund_sector_utilities,fund_price_book_ratio,fund_price_cashflow_ratio,fund_price_earning_ratio,fund_price_sales_ratio,fund_bond_maturity,fund_bond_duration,fund_bonds_us_government,fund_bonds_aaa,fund_bonds_aa,fund_bonds_a,fund_bonds_bbb,fund_bonds_bb,fund_bonds_b,fund_bonds_below_b,fund_bonds_others,top10_holdings,top10_holdings_total_assets,returns_as_of_date,fund_return_ytd,category_return_ytd,fund_return_1month,category_return_1month,fund_return_3months,category_return_3months,fund_return_1year,fund_return_3years,fund_return_5years,fund_return_10years,years_up,years_down,fund_return_2020,fund_return_2019,fund_return_2018,fund_return_2017,fund_return_2016,fund_return_2015,fund_return_2014,fund_return_2013,fund_return_2012,fund_return_2011,fund_return_2010,fund_return_2009,fund_return_2008,fund_return_2007,fund_return_2006,fund_return_2005,fund_return_2004,fund_return_2003,fund_return_2002,fund_return_2001,fund_return_2000,fund_alpha_3years,fund_beta_3years,fund_mean_annual_return_3years,fund_r_squared_3years,fund_stdev_3years,fund_sharpe_ratio_3years,fund_treynor_ratio_3years,fund_alpha_5years,fund_beta_5years,fund_mean_annual_return_5years,fund_r_squared_5years,fund_stdev_5years,fund_sharpe_ratio_5years,fund_treynor_ratio_5years,fund_alpha_10years,fund_beta_10years,fund_mean_annual_return_10years,fund_r_squared_10years,fund_stdev_10years,fund_sharpe_ratio_10years,fund_treynor_ratio_10years
QQQN,AllianzGI Small-Cap Fund Class ,Virtus AllianzGI Small-Cap Fund Class C,Mid-Cap Growth,Virtus,NGM,NasdaqGM,12224,12660.0,148466944.0,34.416,33.344,7.65,0.20732,36.9,-3.6,-0.09756,29.25,4.05,0.13846,"The investment seeks long-term growth of capital and income. The fund seeks to achieve its objective by normally investing at least 80% of its net assets (plus borrowings made for investment purposes) in companies with smaller market capitalizations. The manager expects to invest principally in U.S. companies but may invest to a lesser extent in non-U.S. companies. The manager currently considers smaller market capitalization companies to be companies with market capitalizations that are smaller than the largest company in the fund's benchmark, in the Russell 2000 Index.",0.0,2020-09-09,0.0,Growth,Medium,0.0018,0.0046,0.9992,0.0,0.0,0.2039,0.1311,0.0,0.0,0.0,0.1422,0.0739,0.0,0.4489,0.0,7.24,23.89,35.15,5.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"YETI (""YETI Holdings Inc""): 0.015, RRR (""Red Rock Resorts Inc A""): 0.0134, THC (""Tenet Healthcare Corp""): 0.0126, CNMD (""Conmed Corp""): 0.0125, CROX (""Crocs Inc""): 0.0111, ICHR (""Ichor Holdings Ltd""): 0.011, HIBB (""Hibbett Sports Inc""): 0.0108, NSIT (""Insight Enterprises Inc""): 0.0107, FUL (""H. B. Fuller Co""): 0.0103, MTZ (""MasTec Inc""): 0.01",0.3008,2021-06-30,0.085,0.0546,0.0576,-0.0015,0.0889,0.0419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QTAP,AllianzGI Emerging Markets Valu,Virtus NFJ Emerging Markets Value Fund Class A,None,Virtus,BTS,BATS,17261,4910.0,11200720.0,29.289,28.18,4.42,0.14768,29.93,-0.8186,-0.02735,25.51,3.6014,0.14118,"The investment seeks long-term capital appreciation. The fund seeks to achieve its investment objective by normally investing at least 80% of its net assets (plus borrowings made for investment purposes) in equity securities of companies that are domiciled in or tied economically to countries with emerging securities markets-that is, countries with securities markets which are, in the opinion of the portfolio managers, less sophisticated than more developed markets in terms of participation by investors, analyst coverage, liquidity and regulation.",0.0,2021-03-31,0.0,Growth,Large,0.0079,0.0,0.9923,0.0,0.0,0.1955,0.1727,0.0468,0.0,0.0251,0.0704,0.0261,0.0,0.4546,0.0089,8.57,22.2,35.06,3.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"00700 (""Tencent Holdings Ltd""): 0.0735, 09988 (""Alibaba Group Holding Ltd Ordinary Shares""): 0.066, 005935. KS (""Samsung Electronics Co Ltd Participating Preferred""): 0.0443, 002475 (""Luxshare Precision Industry Co Ltd""): 0.043, TER (""Teradyne Inc""): 0.0316, 03968 (""China Merchants Bank Co Ltd Class H""): 0.0259, DGCXX (""Dreyfus Government Cash Mgmt Instl""): 0.0246, 02318 (""Ping An Insurance (Group) Co. of China Ltd Class H""): 0.0231, GFI. JO (""Gold Fields Ltd ADR""): 0.0167, 300059 (""East Money Information Co Ltd""): 0.0154",0.2801,2021-06-30,0.0,0.0,0.0405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QTJL,AllianzGI Emerging Markets Valu,Virtus NFJ Emerging Markets Value Fund Class C,None,Virtus,BTS,BATS,2422,360.0,25.0,27.176,26.767,2.71,0.09634,28.13,-1.1221,-0.03989,25.42,1.5879,0.06247,"The investment seeks long-term capital appreciation. The fund seeks to achieve its investment objective by normally investing at least 80% of its net assets (plus borrowings made for investment purposes) in equity securities of companies that are domiciled in or tied economically to countries with emerging securities markets-that is, countries with securities markets which are, in the opinion of the portfolio managers, less sophisticated than more developed markets in terms of participation by investors, analyst coverage, liquidity and regulation.",0.0,2021-06-30,0.0,None,None,0.0079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"00700 (""Tencent Holdings Ltd""): 0.0735, 09988 (""Alibaba Group Holding Ltd Ordinary Shares""): 0.066, 005935. KS (""Samsung Electronics Co Ltd Participating Preferred""): 0.0443, 002475 (""Luxshare Precision Industry Co Ltd""): 0.043, TER (""Teradyne Inc""): 0.0316, 03968 (""China Merchants Bank Co Ltd Class H""): 0.0259, DGCXX (""Dreyfus Government Cash Mgmt Instl""): 0.0246, 02318 (""Ping An Insurance (Group) Co. of China Ltd Class H""): 0.0231, GFI. JO (""Gold Fields Ltd ADR""): 0.0167, 300059 (""East Money Information Co Ltd""): 0.0154",0.0,1970-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QTUM,AllianzGI Emerging Markets Valu,Virtus NFJ Emerging Markets Value Fund Institutional Class,Technology,Virtus,PCX,NYSEArca,30658,43060.0,114443368.0,53.334,49.731,17.26,0.30201,57.15,-3.21,-0.05617,39.89,14.05,0.35222,"The investment seeks long-term capital appreciation. The fund seeks to achieve its investment objective by normally investing at least 80% of its net assets (plus borrowings made for investment purposes) in equity securities of companies that are domiciled in or tied economically to countries with emerging securities markets-that is, countries with securities markets which are, in the opinion of the portfolio managers, less sophisticated than more developed markets in terms of participation by investors, analyst coverage, liquidity and regulation.",0.0043,2018-09-04,0.4,Blend,Large,0.004,0.0053,0.9955,0.0,0.0146,0.0684,0.0147,0.0,0.0,0.0,0.0,0.1073,0.0,0.795,0.0,3.71,13.71,24.27,1.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"00700 (""Tencent Holdings Ltd""): 0.0735, 09988 (""Alibaba Group Holding Ltd Ordinary Shares""): 0.066, 005935. KS (""Samsung Electronics Co Ltd Participating Preferred""): 0.0443, 002475 (""Luxshare Precision Industry Co Ltd""): 0.043, TER (""Teradyne Inc""): 0.0316, 03968 (""China Merchants Bank Co Ltd Class H""): 0.0259, DGCXX (""Dreyfus Government Cash Mgmt Instl""): 0.0246, 02318 (""Ping An Insurance (Group) Co. of China Ltd Class H""): 0.0231, GFI. JO (""Gold Fields Ltd ADR""): 0.0167, 300059 (""East Money Information Co Ltd""): 0.0154",0.1604,2021-06-30,0.2043,0.1118,0.0396,-0.0288,0.0626,0.031,0.6242,0.0,0.0,0.0,2.0,0.0,0.42007,0.48203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QUAL,AllianzGI Emerging Markets Valu,Virtus NFJ Emerging Markets Value Fund Class P,Large Blend,Virtus,BTS,BATS,1160104,1027170.0,21575913472.0,139.728,132.609,34.23,0.23362,146.52,-6.83,-0.04661,112.29,27.4,0.24401,"The investment seeks long-term capital appreciation. The fund seeks to achieve its investment objective by normally investing at least 80% of its net assets (plus borrowings made for investment purposes) in equity securities of companies that are domiciled in or tied economically to countries with emerging securities markets-that is, countries with securities markets which are, in the opinion of the portfolio managers, less sophisticated than more developed markets in terms of participation by investors, analyst coverage, liquidity and regulation.",0.0133,2013-07-16,0.45,Blend,Large,0.0015,0.0036,0.9954,0.0,0.0236,0.114,0.0928,0.0847,0.0249,0.1595,0.1314,0.0935,0.0263,0.2253,0.024,6.44,19.6,26.33,3.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"00700 (""Tencent Holdings Ltd""): 0.0735, 09988 (""Alibaba Group Holding Ltd Ordinary Shares""): 0.066, 005935. KS (""Samsung Electronics Co Ltd Participating Preferred""): 0.0443, 002475 (""Luxshare Precision Industry Co Ltd""): 0.043, TER (""Teradyne Inc""): 0.0316, 03968 (""China Merchants Bank Co Ltd Class H""): 0.0259, DGCXX (""Dreyfus Government Cash Mgmt Instl""): 0.0246, 02318 (""Ping An Insurance (Group) Co. of China Ltd Class H""): 0.0231, GFI. JO (""Gold Fields Ltd ADR""): 0.0167, 300059 (""East Money Information Co Ltd""): 0.0154",0.3209,2021-06-30,0.1519,0.075,0.0336,-0.0025,0.0942,0.032,0.4067,0.1878,0.1709,0.0,6.0,1.0,0.16965,0.3414,-0.05772,0.22264,0.09178,0.05561,0.11619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,1.0,1.59,98.4,18.66,0.95,17.57,-0.32,0.99,1.42,97.49,15.02,1.05,16.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QULL,AllianzGI Income Class and Grow,Virtus AllianzGI Income & Growth Fund Class A,Trading--Leveraged Equity,Virtus,PCX,NYSEArca,659,660.0,32089000.0,35.37,31.991,14.516,0.37762,38.441,-3.1542,-0.08205,23.925,11.3618,0.47489,"The investment seeks total return comprised of current income, current gains and capital appreciation. The fund seeks to achieve its objective by investing primarily in a combination of common stocks and other equity securities, debt securities and convertible securities. The allocation of the fund's investments across asset classes will vary substantially from time to time. The fund's investments in each asset class are based upon the portfolio managers' assessment of economic conditions and market factors, including equity price levels, interest rate levels and their anticipated direction.",0.0,2021-02-04,0.0,None,None,0.0095,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"DGCXX (""Dreyfus Government Cash Mgmt Instl""): 0.0355, GOOGL (""Alphabet Inc Class A""): 0.018, FB (""Facebook Inc Class A""): 0.0176, MSFT (""Microsoft Corp""): 0.0172, AAPL (""Apple Inc""): 0.0148, AMZN (""Amazon.com Inc""): 0.0147, TSLA (""Tesla Inc""): 0.009, V (""Visa Inc Class A""): 0.0082, HD (""The Home Depot Inc""): 0.008, NVDA (""NVIDIA Corp""): 0.0079",0.0,2021-06-30,0.0,0.0,0.0643,0.0,0.186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QVAL,AllianzGI Income and Growth Fun,Virtus AllianzGI Income & Growth Fund Institutional Class,None,Virtus,BTS,BATS,19130,34950.0,204790464.0,36.524,34.465,11.733,0.29891,39.253,-3.153,-0.08033,27.52,8.58,0.31177,"The investment seeks total return comprised of current income, current gains and capital appreciation. The fund seeks to achieve its objective by investing primarily in a combination of common stocks and other equity securities, debt securities and convertible securities. The allocation of the fund's investments across asset classes will vary substantially from time to time. The fund's investments in each asset class are based upon the portfolio managers' assessment of economic conditions and market factors, including equity price levels, interest rate levels and their anticipated direction.",0.0158,2014-10-22,0.0,Value,Medium,0.0049,0.0,0.9967,0.0,0.021,0.0215,0.3311,0.1399,0.0,0.0,0.2729,0.14,0.0,0.0556,0.0181,3.14,7.8,14.18,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"DGCXX (""Dreyfus Government Cash Mgmt Instl""): 0.0355, GOOGL (""Alphabet Inc Class A""): 0.018, FB (""Facebook Inc Class A""): 0.0176, MSFT (""Microsoft Corp""): 0.0172, AAPL (""Apple Inc""): 0.0148, AMZN (""Amazon.com Inc""): 0.0147, TSLA (""Tesla Inc""): 0.009, V (""Visa Inc Class A""): 0.0082, HD (""The Home Depot Inc""): 0.008, NVDA (""NVIDIA Corp""): 0.0079",0.2231,2021-05-31,0.233,0.0,0.0213,0.0,0.1631,0.0,0.5986,0.0597,0.1135,0.0,3.0,3.0,-0.06,0.23525,-0.16552,0.24983,0.13415,-0.13392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.5,1.43,0.85,82.24,29.3,0.31,3.24,-9.85,1.41,1.15,78.41,23.94,0.53,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QYLD,American Beacon Zebra Small Cap,American Beacon Zebra Small Cap Equity Fund C Class,None,American Beacon,NGM,NasdaqGM,3701556,4708970.0,3351154432.0,22.586,22.53,2.33,0.09881,23.58,-1.55,-0.06573,21.25,0.78,0.03671,"The investment seeks long-term capital appreciation. Under normal market conditions, the fund invests at least 80% of its net assets (plus the amount of any borrowings for investment purposes) in equity securities of small market capitalization U.S. companies. These companies have market capitalizations similar to the market capitalizations of the companies in the Russell 2000© Index at the time of investment. It may also invest in real estate investment trusts (""REITs"") and master limited partnerships (""MLPs"").",0.118,2013-12-11,0.2787,Growth,Large,0.006,0.0,0.9985,0.0,0.0,0.1964,0.1727,0.0469,0.0,0.0252,0.0697,0.0258,0.0,0.4545,0.0087,8.58,22.21,35.05,3.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EBS (""Emergent BioSolutions Inc""): 0.0217, KELYA (""Kelly Services Inc Class A""): 0.0213, RUSHA (""Rush Enterprises Inc A""): 0.0213, NSIT (""Insight Enterprises Inc""): 0.021, ESGR (""Enstar Group Ltd""): 0.0195, LCII (""LCI Industries Inc""): 0.0164, RCII (""Rent-A-Center Inc""): 0.0163, OTTR (""Otter Tail Corp""): 0.0155, PATK (""Patrick Industries Inc""): 0.0151, PAHC (""Phibro Animal Health Corp Class A""): 0.0151",0.5627,2021-06-30,0.0433,0.0,0.0187,0.0,0.0228,0.0,0.2029,0.0917,0.1145,0.0,6.0,1.0,0.08761,0.22989,-0.03044,0.19299,0.04977,0.07109,0.03927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.03,0.72,0.83,89.03,14.09,0.61,11.24,-0.67,0.68,0.96,81.06,11.31,0.92,15.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QYLG,American Beacon Zebra Small Cap,American Beacon Zebra Small Cap Equity Fund R5 Class,None,American Beacon,NGM,NasdaqGM,22388,28040.0,14869381.0,32.696,31.462,6.17,0.18041,34.2,-1.73,-0.05058,28.03,4.44,0.1584,"The investment seeks long-term capital appreciation. Under normal market conditions, the fund invests at least 80% of its net assets (plus the amount of any borrowings for investment purposes) in equity securities of small market capitalization U.S. companies. These companies have market capitalizations similar to the market capitalizations of the companies in the Russell 2000© Index at the time of investment. It may also invest in real estate investment trusts (""REITs"") and master limited partnerships (""MLPs"").",0.0,2020-09-18,0.0,Growth,Large,0.006,0.0,0.995,0.0,0.0,0.2079,0.1728,0.0498,0.0,0.0236,0.0691,0.0278,0.0,0.4393,0.0097,8.23,21.67,34.12,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EBS (""Emergent BioSolutions Inc""): 0.0217, KELYA (""Kelly Services Inc Class A""): 0.0213, RUSHA (""Rush Enterprises Inc A""): 0.0213, NSIT (""Insight Enterprises Inc""): 0.021, ESGR (""Enstar Group Ltd""): 0.0195, LCII (""LCI Industries Inc""): 0.0164, RCII (""Rent-A-Center Inc""): 0.0163, OTTR (""Otter Tail Corp""): 0.0155, PATK (""Patrick Industries Inc""): 0.0151, PAHC (""Phibro Animal Health Corp Class A""): 0.0151",0.5212,2021-05-31,0.0454,0.0,-0.0064,0.0,0.0369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RAFE,American Beacon Zebra Small Cap,American Beacon Zebra Small Cap Equity Fund Y Class,None,American Beacon,PCX,NYSEArca,3470,2960.0,17642696.0,31.73,30.643,7.558,0.23015,32.839,-1.2439,-0.03788,25.281,6.3141,0.24976,"The investment seeks long-term capital appreciation. Under normal market conditions, the fund invests at least 80% of its net assets (plus the amount of any borrowings for investment purposes) in equity securities of small market capitalization U.S. companies. These companies have market capitalizations similar to the market capitalizations of the companies in the Russell 2000© Index at the time of investment. It may also invest in real estate investment trusts (""REITs"") and master limited partnerships (""MLPs"").",0.0165,2019-12-18,0.12,Value,Large,0.003,0.0,0.9978,0.0,0.0407,0.0577,0.1263,0.0949,0.0,0.2656,0.1559,0.0578,0.0169,0.1713,0.0129,2.64,11.05,20.04,1.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EBS (""Emergent BioSolutions Inc""): 0.0217, KELYA (""Kelly Services Inc Class A""): 0.0213, RUSHA (""Rush Enterprises Inc A""): 0.0213, NSIT (""Insight Enterprises Inc""): 0.021, ESGR (""Enstar Group Ltd""): 0.0195, LCII (""LCI Industries Inc""): 0.0164, RCII (""Rent-A-Center Inc""): 0.0163, OTTR (""Otter Tail Corp""): 0.0155, PATK (""Patrick Industries Inc""): 0.0151, PAHC (""Phibro Animal Health Corp Class A""): 0.0151",0.2731,2021-05-31,0.2055,0.0,0.0314,0.0,0.1402,0.0,0.4824,0.0,0.0,0.0,1.0,0.0,0.05411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RALS,Aquila Tax-Free Trust of Arizon,Aquila Tax-Free Trust of Arizona Class C,None,Aquila,PCX,NYSEArca,749,700.0,5096239.0,31.105,31.799,3.18,0.09527,33.38,-2.495,-0.07475,30.2,0.685,0.02268,"The investment seeks to provide the investors as high a level of current income exempt from Arizona state and regular Federal income taxes as is consistent with preservation of capital. Under normal circumstances, at least 80% of the fund's net assets will be invested in municipal obligations that pay interest exempt, in the opinion of bond counsel, from Arizona state and regular Federal income taxes, the income paid upon which will not be subject to the Federal alternative minimum tax on individuals. These obligations can be of any maturity, but the fund's weighted average maturity has traditionally been between 5 and 15 years. The fund is non-diversified.",0.0125,2010-12-02,0.0,Value,Large,0.0095,0.0,0.0,0.0,0.0303,0.0852,0.0973,0.0837,0.0735,0.1909,0.1223,0.1039,0.0429,0.1259,0.044,2.48,11.13,19.36,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"""SALT RIV PROJ AGRIC IMPT & PWR DIST ARIZ ELEC SYS REV 4%"": 0.0258, ""ARIZONA HEALTH FACS AUTH HOSP SYS REV 5%"": 0.0217, ""PHOENIX ARIZ CIVIC IMPT CORP ARPT REV 4%"": 0.0201, ""ARIZONA HEALTH FACS AUTH REV 4%"": 0.0178, ""ARIZONA INDL DEV AUTH REV 2.12%"": 0.0175, ""PHOENIX ARIZ CIVIC IMPT CORP ARPT REV 5%"": 0.0166, ""PHOENIX ARIZ CIVIC IMPT CORP EXCISE TAX REV 4%"": 0.0158, ""CHANDLER ARIZ INDL DEV AUTH INDL DEV REV 2.7%"": 0.0156, ""MARICOPA CNTY ARIZ CTFS PARTN 5%"": 0.014, ""SALT VERDE FINL CORP SR GAS REV ARIZ 5.25%"": 0.0134",1.213,2021-06-30,0.05,0.0,-0.0297,0.0,-0.0297,0.0,0.0397,-0.028,-0.0247,-0.01,4.0,6.0,-0.10308,-0.01655,-0.02943,-0.04494,0.04708,-0.06647,0.00383,0.10764,0.02586,-0.06461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.75,0.06,-0.22,4.15,5.33,-0.73,-66.16,-4.14,0.05,-0.19,2.44,4.59,-0.75,-71.74,-2.08,0.06,-0.07,2.84,5.12,-0.29,-25.88
RAVI,Aquila Tax-Free Trust of Arizon,Aquila Tax-Free Trust of Arizona Class A,Ultrashort Bond,Aquila,PCX,NYSEArca,22830,22680.0,392465472.0,76.022,76.144,0.58,0.0076,76.33,-0.55,-0.00721,75.75,0.03,0.0004,"The investment seeks to provide the investors as high a level of current income exempt from Arizona state and regular Federal income taxes as is consistent with preservation of capital. Under normal circumstances, at least 80% of the fund's net assets will be invested in municipal obligations that pay interest exempt, in the opinion of bond counsel, from Arizona state and regular Federal income taxes, the income paid upon which will not be subject to the Federal alternative minimum tax on individuals. These obligations can be of any maturity, but the fund's weighted average maturity has traditionally been between 5 and 15 years. The fund is non-diversified.",0.0078,2012-10-09,0.79,None,None,0.0025,0.0022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.0,0.0425,0.0414,0.389,0.4834,0.0,0.0,0.0,0.0437,"""SALT RIV PROJ AGRIC IMPT & PWR DIST ARIZ ELEC SYS REV 4%"": 0.0258, ""ARIZONA HEALTH FACS AUTH HOSP SYS REV 5%"": 0.0217, ""PHOENIX ARIZ CIVIC IMPT CORP ARPT REV 4%"": 0.0201, ""ARIZONA HEALTH FACS AUTH REV 4%"": 0.0178, ""ARIZONA INDL DEV AUTH REV 2.12%"": 0.0175, ""PHOENIX ARIZ CIVIC IMPT CORP ARPT REV 5%"": 0.0166, ""PHOENIX ARIZ CIVIC IMPT CORP EXCISE TAX REV 4%"": 0.0158, ""CHANDLER ARIZ INDL DEV AUTH INDL DEV REV 2.7%"": 0.0156, ""MARICOPA CNTY ARIZ CTFS PARTN 5%"": 0.014, ""SALT VERDE FINL CORP SR GAS REV ARIZ 5.25%"": 0.0134",0.116,2021-06-30,0.0019,0.0107,-0.0004,0.0007,0.0021,0.0038,0.0071,0.0222,0.0181,0.0,8.0,0.0,0.0205,0.03423,0.01824,0.01291,0.01213,0.00388,0.00728,0.00902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.17,0.18,13.5,1.6,0.62,5.77,0.41,0.14,0.15,12.36,1.25,0.54,4.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RAYC,Aquila Tax-Free Trust of Arizon,Aquila Tax-Free Trust of Arizona Class Y,None,Aquila,PCX,NYSEArca,5690,6050.0,18073972.0,25.154,26.054,6.025,0.19987,30.145,-4.72,-0.15658,24.12,1.305,0.0541,"The investment seeks to provide the investors as high a level of current income exempt from Arizona state and regular Federal income taxes as is consistent with preservation of capital. Under normal circumstances, at least 80% of the fund's net assets will be invested in municipal obligations that pay interest exempt, in the opinion of bond counsel, from Arizona state and regular Federal income taxes, the income paid upon which will not be subject to the Federal alternative minimum tax on individuals. These obligations can be of any maturity, but the fund's weighted average maturity has traditionally been between 5 and 15 years. The fund is non-diversified.",0.0,2020-12-30,0.0,Blend,Large,0.008,0.0,0.9946,0.0,0.1249,0.0228,0.0885,0.1176,0.0256,0.2218,0.1096,0.1378,0.0187,0.1327,0.0,2.52,11.21,17.66,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"""SALT RIV PROJ AGRIC IMPT & PWR DIST ARIZ ELEC SYS REV 4%"": 0.0258, ""ARIZONA HEALTH FACS AUTH HOSP SYS REV 5%"": 0.0217, ""PHOENIX ARIZ CIVIC IMPT CORP ARPT REV 4%"": 0.0201, ""ARIZONA HEALTH FACS AUTH REV 4%"": 0.0178, ""ARIZONA INDL DEV AUTH REV 2.12%"": 0.0175, ""PHOENIX ARIZ CIVIC IMPT CORP ARPT REV 5%"": 0.0166, ""PHOENIX ARIZ CIVIC IMPT CORP EXCISE TAX REV 4%"": 0.0158, ""CHANDLER ARIZ INDL DEV AUTH INDL DEV REV 2.7%"": 0.0156, ""MARICOPA CNTY ARIZ CTFS PARTN 5%"": 0.014, ""SALT VERDE FINL CORP SR GAS REV ARIZ 5.25%"": 0.0134",0.3556,2021-05-31,0.0949,0.0,0.0528,0.0,0.046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
